Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D20","D","D_SOD-123",105.410000,-74.930000,90.000000,top
"D21","D","D_SOD-123",107.950000,-74.930000,90.000000,top
"D22","D","D_SOD-123",102.870000,-74.930000,90.000000,top
"D23","D","D_SOD-123",100.330000,-74.930000,90.000000,top
"D25","LED_GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",169.926000,-51.308000,0.000000,top
"D26","LED_GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",169.926000,-49.276000,0.000000,top
"D28","LED_RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.238000,-73.406000,0.000000,top
"F1","A600-150","Fuse_RL600-150_L14mm_W5.1mm",129.032000,-137.668000,180.000000,top
"IC1","UCC27324DR","SOIC-8_3.9x4.9mm_P1.27mm",134.366000,-44.958000,90.000000,top
"IC2","BD93291EFJ-E2","HTSOP-8",186.783000,-54.458000,180.000000,top
"IC3","UCC27324DR","SOIC-8_3.9x4.9mm_P1.27mm",139.954000,-44.958000,90.000000,top
"IC4","Batman","LQFP-64_10x10mm_P0.5mm",222.504000,-107.696000,180.000000,top
"IC5","SN65C3232EDR","SOIC-16_3.9x9.9mm_P1.27mm",204.724000,-53.848000,0.000000,top
"IC6","TXS0104EDR","SOIC-14_3.9x8.7mm_P1.27mm",38.862000,-119.888000,0.000000,top
"IC15","MCP25625T-E_ML","QFN65P600X600X100-29N-D",152.400000,-41.656000,180.000000,top
"J2","BMB_A_CONN","0349128020",196.342000,-143.510000,0.000000,top
"J3","BMB_B_CONN","0349128020",217.424000,-143.510000,0.000000,top
"J4","34912-8020","0349128020",52.070000,-143.510000,0.000000,top
"J6","HV_SENSE","Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal",154.686000,-140.208000,180.000000,top
"J7","VEH_INTERFACE","Molex_Mini-Fit_Jr_5569-14A2_2x07_P4.20mm_Horizontal",221.742000,-47.244000,-90.000000,top
"J8","I3_LIM_KLE","Molex_MiniFit-JR-5569-04A2_2x02x4.20mm_Angled",221.599000,-79.937000,-90.000000,top
"J9","USB_B","57878342",174.933500,-71.354000,-90.000000,top
"J10","S44B-RAD1AK","S44BRAD1AK",61.792000,-92.202000,-90.000000,top
"J12","Debug","PinHeader_1x06_P1.27mm_Vertical",204.978000,-97.536000,-90.000000,top
"J13","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_JTAG_SMD",137.160000,-56.388000,-90.000000,top
"J14","Debug2","PinHeader_1x02_P1.27mm_Vertical",203.962000,-117.490000,180.000000,top
"J15","Debug1","PinHeader_1x02_P1.27mm_Vertical",226.568000,-117.490000,180.000000,top
